"Month","Division","Line","Day Type","Reporting Category","Incidents"
"2020-01-01","A DIVISION","1","1",,"0"
"2020-01-01","A DIVISION","1","1","Crew Availability","3"
"2020-01-01","A DIVISION","1","1","External Factors","2"
"2020-01-01","A DIVISION","1","1","Infrastructure & Equipment","43"
"2020-01-01","A DIVISION","1","1","Operating Conditions","104"
"2020-01-01","A DIVISION","1","1","Planned ROW Work","35"
"2020-01-01","A DIVISION","1","1","Police & Medical","75"
"2020-01-01","A DIVISION","1","2",,"0"
"2020-01-01","A DIVISION","1","2","Crew Availability","7"
"2020-01-01","A DIVISION","1","2","External Factors","0"
"2020-01-01","A DIVISION","1","2","Infrastructure & Equipment","13"
"2020-01-01","A DIVISION","1","2","Operating Conditions","16"
"2020-01-01","A DIVISION","1","2","Planned ROW Work","6"
"2020-01-01","A DIVISION","1","2","Police & Medical","22"
"2020-01-01","A DIVISION","2","1",,"0"
"2020-01-01","A DIVISION","2","1","Crew Availability","8"
"2020-01-01","A DIVISION","2","1","External Factors","5"
"2020-01-01","A DIVISION","2","1","Infrastructure & Equipment","41"
"2020-01-01","A DIVISION","2","1","Operating Conditions","80"
"2020-01-01","A DIVISION","2","1","Planned ROW Work","37"
"2020-01-01","A DIVISION","2","1","Police & Medical","77"
"2020-01-01","A DIVISION","2","2",,"0"
"2020-01-01","A DIVISION","2","2","Crew Availability","4"
"2020-01-01","A DIVISION","2","2","External Factors","1"
"2020-01-01","A DIVISION","2","2","Infrastructure & Equipment","21"
"2020-01-01","A DIVISION","2","2","Operating Conditions","82"
"2020-01-01","A DIVISION","2","2","Planned ROW Work","12"
"2020-01-01","A DIVISION","2","2","Police & Medical","43"
"2020-01-01","A DIVISION","3","1",,"0"
"2020-01-01","A DIVISION","3","1","Crew Availability","2"
"2020-01-01","A DIVISION","3","1","External Factors","1"
"2020-01-01","A DIVISION","3","1","Infrastructure & Equipment","24"
"2020-01-01","A DIVISION","3","1","Operating Conditions","55"
"2020-01-01","A DIVISION","3","1","Planned ROW Work","15"
"2020-01-01","A DIVISION","3","1","Police & Medical","32"
"2020-01-01","A DIVISION","3","2",,"0"
"2020-01-01","A DIVISION","3","2","Crew Availability","0"
"2020-01-01","A DIVISION","3","2","External Factors","0"
"2020-01-01","A DIVISION","3","2","Infrastructure & Equipment","6"
"2020-01-01","A DIVISION","3","2","Operating Conditions","66"
"2020-01-01","A DIVISION","3","2","Planned ROW Work","13"
"2020-01-01","A DIVISION","3","2","Police & Medical","21"
"2020-01-01","A DIVISION","4","1",,"0"
"2020-01-01","A DIVISION","4","1","Crew Availability","10"
"2020-01-01","A DIVISION","4","1","External Factors","1"
"2020-01-01","A DIVISION","4","1","Infrastructure & Equipment","46"
"2020-01-01","A DIVISION","4","1","Operating Conditions","81"
"2020-01-01","A DIVISION","4","1","Planned ROW Work","41"
"2020-01-01","A DIVISION","4","1","Police & Medical","77"
"2020-01-01","A DIVISION","4","2",,"0"
"2020-01-01","A DIVISION","4","2","Crew Availability","1"
"2020-01-01","A DIVISION","4","2","External Factors","0"
"2020-01-01","A DIVISION","4","2","Infrastructure & Equipment","12"
"2020-01-01","A DIVISION","4","2","Operating Conditions","22"
"2020-01-01","A DIVISION","4","2","Planned ROW Work","20"
"2020-01-01","A DIVISION","4","2","Police & Medical","33"
"2020-01-01","A DIVISION","5","1",,"0"
"2020-01-01","A DIVISION","5","1","Crew Availability","3"
"2020-01-01","A DIVISION","5","1","External Factors","1"
