"month","division","line","day_type","num_on_time_trips","num_sched_trips","terminal_on_time_performance"
"2015-01-01","A DIVISION","1","1","6,874","9,017","76.2337806%"
"2015-01-01","A DIVISION","2","1","2,920","6,175","47.2874494%"
"2015-01-01","A DIVISION","3","1","4,004","5,834","68.6321563%"
"2015-01-01","A DIVISION","4","1","3,692","7,623","48.4323757%"
"2015-01-01","A DIVISION","5","1","3,203","6,491","49.3452473%"
"2015-01-01","A DIVISION","6","1","5,967","11,509","51.8463811%"
"2015-01-01","A DIVISION","7","1","10,595","12,322","85.9844181%"
"2015-01-01","A DIVISION","S 42nd","1","11,592","11,834","97.9550448%"
"2015-01-01","B DIVISION","A","1","4,956","7,327","67.6402347%"
"2015-01-01","B DIVISION","B","1","3,164","4,120","76.7961165%"
"2015-01-01","B DIVISION","C","1","3,359","4,000","83.975%"
"2015-01-01","B DIVISION","D","1","4,022","5,288","76.0590015%"
"2015-01-01","B DIVISION","E","1","5,453","7,894","69.0777806%"
"2015-01-01","B DIVISION","F","1","4,597","7,939","57.9040181%"
"2015-01-01","B DIVISION","G","1","3,961","5,664","69.9329096%"
"2015-01-01","B DIVISION","JZ","1","4,374","5,444","80.3453343%"
"2015-01-01","B DIVISION","L","1","9,109","9,808","92.8731648%"
"2015-01-01","B DIVISION","M","1","3,761","5,315","70.7619944%"
"2015-01-01","B DIVISION","N","1","3,601","5,259","68.4730937%"
"2015-01-01","B DIVISION","Q","1","3,737","5,348","69.8765894%"
"2015-01-01","B DIVISION","R","1","3,506","5,670","61.8342152%"
"2015-01-01","B DIVISION","S Fkln","1","2,337","2,354","99.277825%"
"2015-01-01","B DIVISION","S Rock","1","3,203","3,358","95.3841572%"
"2015-02-01","A DIVISION","1","1","6,067","8,579","70.719198%"
"2015-02-01","A DIVISION","2","1","2,185","5,901","37.0276224%"
"2015-02-01","A DIVISION","3","1","3,300","5,618","58.739765%"
"2015-02-01","A DIVISION","4","1","3,061","7,201","42.507985%"
"2015-02-01","A DIVISION","5","1","2,489","6,172","40.3272845%"
"2015-02-01","A DIVISION","6","1","4,255","10,630","40.028222%"
"2015-02-01","A DIVISION","7","1","9,057","11,727","77.2320287%"
"2015-02-01","A DIVISION","S 42nd","1","11,149","11,192","99.615797%"
"2015-02-01","B DIVISION","A","1","4,390","6,970","62.9842181%"
"2015-02-01","B DIVISION","B","1","2,678","3,914","68.4210526%"
"2015-02-01","B DIVISION","C","1","2,983","3,800","78.5%"
"2015-02-01","B DIVISION","D","1","3,404","5,063","67.2328659%"
"2015-02-01","B DIVISION","E","1","5,197","7,512","69.1826411%"
"2015-02-01","B DIVISION","F","1","3,963","7,465","53.0877428%"
"2015-02-01","B DIVISION","G","1","3,735","5,371","69.5401229%"
"2015-02-01","B DIVISION","JZ","1","3,750","5,193","72.2125939%"
"2015-02-01","B DIVISION","L","1","8,216","9,505","86.4387165%"
"2015-02-01","B DIVISION","M","1","3,324","5,054","65.7696874%"
"2015-02-01","B DIVISION","N","1","3,104","5,054","61.4166996%"
"2015-02-01","B DIVISION","Q","1","3,433","5,089","67.4592258%"
"2015-02-01","B DIVISION","R","1","3,103","5,371","57.7732266%"
"2015-02-01","B DIVISION","S Fkln","1","2,223","2,242","99.1525424%"
"2015-02-01","B DIVISION","S Rock","1","3,009","3,195","94.1784038%"
"2015-03-01","A DIVISION","1","1","7,435","9,929","74.8816598%"
"2015-03-01","A DIVISION","2","1","3,138","7,213","43.504783%"
"2015-03-01","A DIVISION","3","1","4,015","6,304","63.6897208%"
"2015-03-01","A DIVISION","4","1","3,218","8,076","39.8464586%"
"2015-03-01","A DIVISION","5","1","2,776","7,145","38.8523443%"
"2015-03-01","A DIVISION","6","1","4,931","12,246","40.2662094%"
"2015-03-01","A DIVISION","7","1","10,949","13,571","80.6793899%"
"2015-03-01","A DIVISION","S 42nd","1","13,226","13,290","99.5184349%"
"2015-03-01","B DIVISION","A","1","5,271","8,040","65.5597015%"
"2015-03-01","B DIVISION","B","1","3,605","4,525","79.6685083%"
"2015-03-01","B DIVISION","C","1","3,521","4,400","80.0227273%"
"2015-03-01","B DIVISION","D","1","4,460","5,793","76.9894701%"
"2015-03-01","B DIVISION","E","1","6,199","8,692","71.3184538%"
"2015-03-01","B DIVISION","F","1","4,844","8,450","57.3254438%"
"2015-03-01","B DIVISION","G","1","3,856","6,093","63.2857377%"
"2015-03-01","B DIVISION","JZ","1","4,816","5,996","80.3202135%"
"2015-03-01","B DIVISION","L","1","10,286","11,187","91.9460088%"
"2015-03-01","B DIVISION","M","1","3,945","5,852","67.4128503%"
"2015-03-01","B DIVISION","N","1","4,222","5,852","72.1462748%"
"2015-03-01","B DIVISION","Q","1","4,474","5,891","75.9463589%"
"2015-03-01","B DIVISION","R","1","3,612","6,248","57.8104994%"
"2015-03-01","B DIVISION","S Fkln","1","2,572","2,596","99.0755008%"
"2015-03-01","B DIVISION","S Rock","1","3,530","3,701","95.3796271%"
"2015-04-01","A DIVISION","1","1","7,690","9,932","77.4265002%"
"2015-04-01","A DIVISION","2","1","3,290","7,054","46.6402041%"
