"month","division","line","day_type","reporting_category","delays"
"2020-01-01","A DIVISION","1","1","Crew Availability","17"
"2020-01-01","A DIVISION","1","1","Infrastructure & Equipment","399"
"2020-01-01","A DIVISION","1","1","Operating Conditions","332"
"2020-01-01","A DIVISION","1","1","External Factors","314"
"2020-01-01","A DIVISION","1","1","Police & Medical","345"
"2020-01-01","A DIVISION","1","1","Planned ROW Work","111"
"2020-01-01","A DIVISION","1","2","Crew Availability","10"
"2020-01-01","A DIVISION","1","2","Planned ROW Work","18"
"2020-01-01","A DIVISION","1","2","Police & Medical","42"
"2020-01-01","A DIVISION","1","2","Infrastructure & Equipment","78"
"2020-01-01","A DIVISION","1","2","Operating Conditions","36"
"2020-01-01","A DIVISION","2","1","Operating Conditions","197"
"2020-01-01","A DIVISION","2","1","External Factors","252"
"2020-01-01","A DIVISION","2","1","Planned ROW Work","228"
"2020-01-01","A DIVISION","2","1","Infrastructure & Equipment","270"
"2020-01-01","A DIVISION","2","1","Police & Medical","312"
"2020-01-01","A DIVISION","2","1","Crew Availability","12"
"2020-01-01","A DIVISION","2","2","Crew Availability","7"
"2020-01-01","A DIVISION","2","2","Police & Medical","117"
"2020-01-01","A DIVISION","2","2","Planned ROW Work","90"
"2020-01-01","A DIVISION","2","2","Operating Conditions","328"
"2020-01-01","A DIVISION","2","2","External Factors","18"
"2020-01-01","A DIVISION","2","2","Infrastructure & Equipment","106"
"2020-01-01","A DIVISION","3","1","Planned ROW Work","99"
"2020-01-01","A DIVISION","3","1","External Factors","228"
"2020-01-01","A DIVISION","3","1","Operating Conditions","130"
"2020-01-01","A DIVISION","3","1","Police & Medical","210"
"2020-01-01","A DIVISION","3","1","Infrastructure & Equipment","196"
"2020-01-01","A DIVISION","3","1","Crew Availability","8"
"2020-01-01","A DIVISION","3","2","Planned ROW Work","67"
"2020-01-01","A DIVISION","3","2","External Factors","1"
"2020-01-01","A DIVISION","3","2","Crew Availability","1"
"2020-01-01","A DIVISION","3","2","Police & Medical","56"
"2020-01-01","A DIVISION","3","2","Infrastructure & Equipment","63"
"2020-01-01","A DIVISION","3","2","Operating Conditions","160"
"2020-01-01","A DIVISION","4","1","Planned ROW Work","226"
"2020-01-01","A DIVISION","4","1","Police & Medical","484"
"2020-01-01","A DIVISION","4","1","External Factors","93"
"2020-01-01","A DIVISION","4","1","Infrastructure & Equipment","386"
"2020-01-01","A DIVISION","4","1","Crew Availability","18"
"2020-01-01","A DIVISION","4","1","Operating Conditions","366"
"2020-01-01","A DIVISION","4","2","Infrastructure & Equipment","78"
"2020-01-01","A DIVISION","4","2","Planned ROW Work","142"
"2020-01-01","A DIVISION","4","2","Operating Conditions","89"
"2020-01-01","A DIVISION","4","2","Crew Availability","3"
"2020-01-01","A DIVISION","4","2","External Factors","22"
"2020-01-01","A DIVISION","4","2","Police & Medical","166"
"2020-01-01","A DIVISION","5","1","Infrastructure & Equipment","337"
"2020-01-01","A DIVISION","5","1","Police & Medical","382"
"2020-01-01","A DIVISION","5","1","External Factors","127"
"2020-01-01","A DIVISION","5","1","Crew Availability","5"
"2020-01-01","A DIVISION","5","1","Operating Conditions","176"
"2020-01-01","A DIVISION","5","1","Planned ROW Work","53"
"2020-01-01","A DIVISION","5","2","Operating Conditions","46"
"2020-01-01","A DIVISION","5","2","Infrastructure & Equipment","18"
"2020-01-01","A DIVISION","5","2","External Factors","16"
"2020-01-01","A DIVISION","5","2","Crew Availability","4"
"2020-01-01","A DIVISION","5","2","Police & Medical","52"
"2020-01-01","A DIVISION","5","2","Planned ROW Work","36"
"2020-01-01","A DIVISION","6","1","Operating Conditions","643"
"2020-01-01","A DIVISION","6","1","Crew Availability","14"
