"month","division","line","day_type","period","num_timepoints_passing_wait _assessment","num_sched_timepoints","wait assessment"
"2015-01-01","A DIVISION","1","1","offpeak","17,864","22,636","78.9185368%"
"2015-01-01","A DIVISION","1","2","offpeak","6,601","7,496","88.0602988%"
"2015-01-01","A DIVISION","1","1","peak","10,540","15,019","70.1777748%"
"2015-01-01","A DIVISION","1","2","peak","3,177","3,656","86.8982495%"
"2015-01-01","A DIVISION","2","1","offpeak","18,357","24,256","75.6802441%"
"2015-01-01","A DIVISION","2","2","offpeak","5,746","7,373","77.9329988%"
"2015-01-01","A DIVISION","2","1","peak","10,154","15,882","63.9340133%"
"2015-01-01","A DIVISION","2","2","peak","2,964","3,768","78.6624204%"
"2015-01-01","A DIVISION","3","1","offpeak","16,719","21,119","79.1656802%"
"2015-01-01","A DIVISION","3","2","offpeak","4,534","5,356","84.6527259%"
"2015-01-01","A DIVISION","3","1","peak","9,500","13,575","69.9815838%"
"2015-01-01","A DIVISION","3","2","peak","2,304","2,730","84.3956044%"
"2015-01-01","A DIVISION","4","1","offpeak","20,484","27,717","73.9041022%"
"2015-01-01","A DIVISION","4","2","offpeak","7,801","10,751","72.560692%"
"2015-01-01","A DIVISION","4","1","peak","12,832","20,912","61.3618975%"
"2015-01-01","A DIVISION","4","2","peak","4,102","5,866","69.928401%"
"2015-01-01","A DIVISION","5","1","offpeak","15,190","21,279","71.3849335%"
"2015-01-01","A DIVISION","5","2","offpeak","2,743","4,107","66.78841%"
"2015-01-01","A DIVISION","5","1","peak","10,417","17,393","59.8919105%"
"2015-01-01","A DIVISION","5","2","peak","1,308","2,214","59.0785908%"
"2015-01-01","A DIVISION","6","1","offpeak","17,334","25,667","67.5341879%"
"2015-01-01","A DIVISION","6","2","offpeak","3,572","4,587","77.8722477%"
"2015-01-01","A DIVISION","6","1","peak","11,017","18,713","58.8735104%"
"2015-01-01","A DIVISION","6","2","peak","1,797","2,392","75.1254181%"
"2015-01-01","A DIVISION","7","1","offpeak","11,078","14,068","78.7460904%"
"2015-01-01","A DIVISION","7","2","offpeak","2,845","3,369","84.4464233%"
"2015-01-01","A DIVISION","7","1","peak","8,081","12,022","67.2184329%"
"2015-01-01","A DIVISION","7","2","peak","1,536","1,905","80.6299213%"
"2015-01-01","A DIVISION","S 42nd","1","offpeak","5,214","5,683","91.7473166%"
"2015-01-01","A DIVISION","S 42nd","2","offpeak","1,910","1,928","99.06639%"
"2015-01-01","A DIVISION","S 42nd","1","peak","4,437","5,746","77.2189349%"
"2015-01-01","A DIVISION","S 42nd","2","peak","1,120","1,132","98.9399293%"
"2015-01-01","B DIVISION","A","1","offpeak","12,769","17,775","71.8368495%"
"2015-01-01","B DIVISION","A","2","offpeak","4,624","7,027","65.80333%"
"2015-01-01","B DIVISION","A","1","peak","8,799","13,182","66.7501138%"
"2015-01-01","B DIVISION","A","2","peak","2,447","3,870","63.2299742%"
"2015-01-01","B DIVISION","B","1","offpeak","7,096","8,496","83.5216573%"
"2015-01-01","B DIVISION","B","1","peak","5,548","7,452","74.4498121%"
"2015-01-01","B DIVISION","C","1","offpeak","8,170","10,522","77.6468352%"
"2015-01-01","B DIVISION","C","2","offpeak","2,803","3,123","89.7534422%"
"2015-01-01","B DIVISION","C","1","peak","4,776","6,508","73.3866011%"
"2015-01-01","B DIVISION","C","2","peak","1,638","1,876","87.3134328%"
"2015-01-01","B DIVISION","D","1","offpeak","10,568","12,823","82.4144116%"
"2015-01-01","B DIVISION","D","2","offpeak","4,694","6,011","78.090168%"
"2015-01-01","B DIVISION","D","1","peak","6,361","8,377","75.9341053%"
"2015-01-01","B DIVISION","D","2","peak","2,540","3,194","79.5241077%"
"2015-01-01","B DIVISION","E","1","offpeak","9,770","12,970","75.3276793%"
"2015-01-01","B DIVISION","E","2","offpeak","3,027","3,687","82.0992677%"
"2015-01-01","B DIVISION","E","1","peak","6,368","9,265","68.7317863%"
"2015-01-01","B DIVISION","E","2","peak","1,501","1,890","79.4179894%"
"2015-01-01","B DIVISION","F","1","offpeak","13,987","19,279","72.5504435%"
"2015-01-01","B DIVISION","F","2","offpeak","4,579","5,705","80.2629273%"
"2015-01-01","B DIVISION","F","1","peak","9,105","13,907","65.4706263%"
"2015-01-01","B DIVISION","F","2","peak","2,335","2,922","79.9110198%"
